metric;general error;gr1 without outlier;gr1 with outlier;gr2 without outlier;gr2 with outlier
total rmse;0.0169;0.0171;0.0168;0.0107;0.0116
real scale wear error;3.1092;3.5485;3.4871;0.5822;0.6391
real scale rough error;0.0336;0.0376;0.0369;0.0123;0.0163
real scale cost error;0.4111;0.2097;0.206;0.839;0.7996
wear rmse;0.012;0.0137;0.0134;0.0022;0.0025
wear mape;0.1192;0.0852;0.0822;0.2392;0.2566
wear medianape;0.0833;0.0565;0.0556;0.241;0.2471
wear r2 score;0.9975;0.9962;0.9971;0.8864;0.8412
rough rmse;0.0293;0.0329;0.0322;0.0107;0.0142
rough mape;0.1062;0.1174;0.113;0.0436;0.0811
rough medianape;0.0368;0.0374;0.031;0.0323;0.0368
rough r2 score;0.9848;0.9773;0.9829;0.9609;0.9354
cost rmse;0.0093;0.0048;0.0047;0.0191;0.0182
cost mape;0.116;0.146;0.1409;0.0237;0.0235
cost medianape;0.0249;0.0309;0.0291;0.0202;0.0228
cost r2 score;0.9983;0.9975;0.9975;0.9948;0.9946
