speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;50;5000;36.01;0.49;10.22;1;997;1
60.3;98.92;5000;31.5;0.64;5.34;999;0;0
63.15;150;5000;34.14;0.67;4.32;249;749;1
80;50;5000;36.01;0.49;10.22;1;997;1
63.15;150;5000;34.14;0.67;4.32;249;749;1
80;50;5000;36.01;0.49;10.22;0;999;0
59.5;92.58;5000.01;31.53;0.64;5.58;965;34;0
58.14;90.64;5000;31.55;0.63;5.64;951;48;0
59.48;90.73;5000.01;31.56;0.63;5.66;948;51;0
60.3;100.28;5000;31.5;0.64;5.29;994;5;0
61.17;105.54;5000.01;31.54;0.65;5.12;962;37;0
78.53;50;5000;35.86;0.49;10.13;23;976;0
79.75;50;5000;35.99;0.49;10.21;6;993;0
78.32;50;5000;35.84;0.49;10.12;24;975;0
61.85;50;5000;33.91;0.52;9.11;280;719;0
71.57;50;5000;35.06;0.5;9.69;130;869;0
59.42;97.32;5000.01;31.5;0.64;5.38;992;7;0
59.25;98.92;5000;31.5;0.64;5.31;988;11;0
59.75;102.24;5000;31.52;0.65;5.2;977;22;0
72.79;50;5000;35.21;0.5;9.76;116;883;0
63.75;104.59;5000.01;31.55;0.65;5.22;952;47;0
72.63;50;5000;35.19;0.5;9.75;117;882;0
57.79;82.6;5000.02;31.72;0.62;6.04;866;133;0
71.76;50;5000;35.09;0.5;9.7;129;870;0
60.34;105.97;5000;31.55;0.65;5.09;949;50;0
59.84;50;5000.02;33.71;0.52;9.01;308;691;0
58.13;88.71;5000;31.58;0.63;5.73;937;62;0
67.98;50;5000;34.63;0.51;9.47;187;812;0
63.54;50;5000;34.1;0.52;9.21;255;744;0
63.31;108.36;5000;31.57;0.65;5.08;942;57;0
59.23;89.71;5000;31.57;0.63;5.71;939;60;0
72.99;50;5000;35.24;0.5;9.78;114;885;0
54.8;50;5000;33.28;0.53;8.77;381;618;0
65.27;107.97;5000;31.61;0.65;5.14;919;80;0
60.03;95.94;5000;31.51;0.64;5.45;987;12;0
78.99;50;5000;35.91;0.49;10.16;16;983;0
66.79;148.38;5000;33.57;0.67;4.35;326;673;0
59.48;103.57;5000;31.54;0.65;5.15;960;39;0
79.55;50;5000;35.97;0.49;10.19;7;992;0
57.85;50;5000;33.52;0.52;8.91;336;663;0
72.1;50;5000.01;35.13;0.5;9.72;124;875;0
72.88;50;5000;35.22;0.5;9.77;115;884;0
61.64;50.03;5000;33.89;0.52;9.1;282;717;0
72;50;5000;35.12;0.5;9.71;125;874;0
59.97;50;5000;33.72;0.52;9.01;307;692;0
58.79;50;5000;33.6;0.52;8.95;322;677;0
65.82;50;5000;34.37;0.51;9.34;219;780;0
66.13;50;5000;34.4;0.51;9.35;214;785;0
65.15;106.61;5000;31.6;0.65;5.19;928;71;0
69.93;118.56;5000;31.93;0.65;4.96;779;220;0
54.94;74.92;5000;31.94;0.61;6.44;773;226;0
55;50.03;5000;33.29;0.53;8.78;380;619;0
64.52;50;5000;34.21;0.52;9.26;239;760;0
66.39;149;5000;33.66;0.67;4.34;316;683;0
60.95;93.78;5000;31.54;0.64;5.57;959;40;0
67.86;50;5000;34.61;0.51;9.46;188;811;0
67.66;50;5000;34.59;0.51;9.45;191;808;0
60.51;50;5000;33.77;0.52;9.04;298;701;0
67.18;50;5000.01;34.53;0.51;9.42;198;801;0
60.55;94.55;5000.01;31.52;0.64;5.52;972;27;0
58.41;50;5000;33.57;0.52;8.94;328;671;0
58.03;50;5000;33.53;0.52;8.92;335;664;0
66.01;109.15;5000.01;31.64;0.65;5.13;902;97;0
61.11;98.92;5000;31.5;0.64;5.36;990;9;0
64.52;103.66;5000.01;31.57;0.64;5.27;944;55;0
72.86;149.84;5000;33.48;0.66;4.42;349;650;0
66.12;114.23;5000;31.71;0.65;4.97;868;131;0
51.35;52.66;5000;32.95;0.54;8.33;469;530;0
67.87;150;5000;33.64;0.67;4.35;320;679;0
58.11;50;5000;33.54;0.52;8.92;333;666;0
62.96;50;5000;34.04;0.52;9.17;263;736;0
57.33;50;5000;33.47;0.53;8.88;346;653;0
58.33;86.13;5000;31.64;0.63;5.86;904;95;0
62.19;50;5000;33.95;0.52;9.13;275;724;0
63.93;150;5000;34.03;0.67;4.32;264;735;0
64.4;150;5000;33.97;0.67;4.32;273;726;0
55.99;82.02;5000;31.72;0.62;6.03;865;134;0
77.87;50.01;5000;35.79;0.49;10.09;31;968;0
60.3;101.81;5000;31.51;0.65;5.23;986;13;0
51.51;57.79;5000;32.68;0.56;7.78;561;438;0
69.54;118.56;5000;31.91;0.65;4.95;786;213;0
61.45;50;5000;33.87;0.52;9.09;284;715;0
54.16;72.78;5000;32.02;0.6;6.57;742;257;0
65.09;50;5000;34.28;0.51;9.29;229;770;0
78.02;50;5000;35.81;0.49;10.1;29;970;0
59.73;101.19;5000;31.51;0.65;5.24;983;16;0
59.8;91.82;5000;31.55;0.64;5.62;953;46;0
63.65;50;5000;34.11;0.52;9.21;254;745;0
52.49;61.92;5000;32.49;0.58;7.41;620;379;0
66;50;5000;34.39;0.51;9.35;215;784;0
77.93;50;5000.02;35.8;0.49;10.09;30;969;0
68.15;50;5000;34.65;0.51;9.48;185;814;0
62.1;50;5000;33.94;0.52;9.13;276;723;0
67.56;50;5000.02;34.58;0.51;9.44;192;807;0
62.8;50;5000;34.02;0.52;9.16;265;734;0
72.42;50.04;5000;35.16;0.5;9.74;121;878;0
49.9;63.78;5000;32.4;0.58;7.18;639;360;0
60.69;50;5000;33.79;0.52;9.05;296;703;0
61.28;50;5000;33.85;0.52;9.08;286;713;0
66.84;50;5000;34.49;0.51;9.4;203;796;0
76.41;145.87;5000;33.31;0.66;4.57;379;620;0
74.04;50;5000;35.36;0.5;9.84;94;905;0
78.76;50;5000;35.89;0.49;10.14;19;980;0
54.98;72.78;5000;32.03;0.6;6.59;737;262;0
74.14;50;5000;35.37;0.5;9.85;93;906;0
71.89;50;5000.12;35.1;0.5;9.71;126;873;0
55.81;84.44;5000;31.67;0.63;5.89;890;109;0
64.13;50;5000;34.17;0.52;9.24;245;754;0
53;71.03;5000.01;32.09;0.6;6.67;717;282;0
57.49;50;5000;33.49;0.53;8.89;343;656;0
68.26;50;5000;34.66;0.51;9.48;184;815;0
57.56;81.12;5000;31.76;0.62;6.12;849;150;0
72.2;50;5000;35.14;0.5;9.73;122;876;1
51.44;52.59;5000.01;32.95;0.54;8.34;468;531;0
50.66;58.11;5000;32.65;0.56;7.72;573;426;0
50.77;58.06;5000;32.66;0.56;7.73;571;428;0
59.6;50.14;5000;33.67;0.52;8.98;312;687;0
55.1;50;5000;33.3;0.53;8.78;379;620;0
76.63;50;5000;35.66;0.5;10.01;51;948;0
70.2;50;5000;34.9;0.51;9.6;151;848;0
71.18;50;5000;35.02;0.51;9.66;137;862;0
58.95;50;5000;33.62;0.52;8.96;320;679;0
55.3;81.33;5000;31.74;0.62;6.05;858;141;0
67.99;127.07;5000;32.13;0.66;4.7;705;294;0
56.89;50;5000;33.43;0.53;8.86;353;646;0
52.34;65.05;5000.01;32.34;0.59;7.13;653;346;0
54.69;75.71;5000.03;31.91;0.61;6.38;785;214;0
51.3;60.13;5000;32.56;0.57;7.54;600;399;0
52.11;58.76;5000.01;32.65;0.57;7.7;576;423;0
54.22;77.45;5000.02;31.86;0.62;6.26;810;189;0
68.23;150;5000;33.62;0.67;4.35;324;675;0
58.77;95.53;5000;31.51;0.64;5.44;984;15;0
60.72;94.99;5000;31.52;0.64;5.51;974;25;0
57.74;50.02;5000;33.51;0.52;8.9;337;662;0
76.14;50;5000;35.6;0.5;9.98;59;940;0
55.85;80.2;5000.02;31.77;0.62;6.13;846;153;0
59.28;91.85;5000.01;31.54;0.64;5.61;957;41;1
50.89;57.71;5000;32.68;0.56;7.77;563;436;0
64.41;50;5000;34.2;0.52;9.26;240;759;0
64.79;150;5000;33.92;0.67;4.33;279;720;0
74.6;50;5000;35.42;0.5;9.88;84;915;0
64.62;50;5000;34.23;0.52;9.27;238;761;0
79.1;50;5000;35.92;0.49;10.17;15;984;0
60.84;98.92;5000;31.5;0.64;5.35;995;4;0
50.45;52.8;5000;32.91;0.54;8.28;485;514;0
69.87;50;5000;34.86;0.51;9.58;158;841;0
52.21;60.25;5000;32.57;0.57;7.56;598;401;0
56.57;82.51;5000.05;31.71;0.62;6.01;869;130;0
75.97;50;5000;35.58;0.5;9.97;61;938;0
58.08;85.35;5000;31.65;0.63;5.9;895;104;0
60.3;96.8;5000;31.5;0.64;5.42;989;10;0
56.37;85.52;5000;31.64;0.63;5.85;901;98;0
51.67;74.97;5000;31.98;0.61;6.36;760;239;0
59.61;50;5000;33.68;0.52;8.99;311;688;0
75.14;148.94;5000;33.45;0.66;4.49;353;646;0
51.37;61.35;5000;32.51;0.57;7.43;617;382;0
77.02;50;5000;35.7;0.5;10.03;44;955;0
74.32;50;5000;35.39;0.5;9.86;90;909;0
70.57;50;5000;34.94;0.51;9.63;146;853;0
66.12;150;5000;33.78;0.67;4.33;297;702;0
65.64;50;5000;34.35;0.51;9.33;220;779;0
68.98;149.84;5000;33.56;0.67;4.36;333;666;0
76.27;147.87;5000.01;33.42;0.66;4.53;358;641;0
72.63;50.05;5000;35.19;0.5;9.75;118;881;0
50.93;57.93;5000;32.67;0.56;7.75;570;429;0
54.4;71.12;5000;32.09;0.6;6.7;715;284;0
58.25;82.09;5000.01;31.75;0.62;6.08;856;143;0
49.64;54.04;5000;32.84;0.55;8.12;511;488;0
69.64;150;5000;33.55;0.67;4.37;336;663;0
54.69;73.68;5000;31.99;0.61;6.52;753;246;0
51.35;66.84;5000;32.26;0.59;6.95;669;330;0
55.62;50;5000;33.33;0.53;8.81;375;624;0
70.49;50;5000;34.93;0.51;9.62;147;852;0
57.79;83.42;5000;31.7;0.62;5.99;875;124;0
48.59;50.08;5000;33;0.54;8.54;444;555;0
69.72;50;5000;34.84;0.51;9.57;160;839;0
66.52;50;5000;34.45;0.51;9.38;208;791;0
76.12;143.44;5000;33.16;0.66;4.6;404;595;0
56.66;50;5000;33.42;0.53;8.85;358;641;0
64.99;50;5000;34.27;0.51;9.29;230;769;0
64.98;150;5000;33.9;0.67;4.33;281;718;0
