speed;rate;vol;wear;rough;cost;victories;defeats;draws
78.35;150;5000;55.52;0.83;4.87;0;998;1
78.62;98.55;5000;49.53;0.71;5.75;997;2;0
80;50;5000;52.54;0.53;9.6;132;867;0
78.35;150;5000;55.52;0.83;4.87;0;998;1
80;50;5000;52.54;0.53;9.6;131;868;0
79.97;144.31;5000;53.59;0.8;4.89;82;917;0
79.98;143.73;5000;53.47;0.8;4.89;84;915;0
79.98;144.91;5000;53.71;0.81;4.88;77;922;0
80;145.46;5000;53.81;0.81;4.88;76;923;0
79.99;146.34;5000;54;0.81;4.88;69;930;0
79.92;150;5000;54.85;0.82;4.87;44;955;0
80;148.81;5000;54.54;0.82;4.87;52;947;0
78.95;150;5000;55.25;0.83;4.87;19;980;0
80;147.29;5000;54.21;0.81;4.88;64;935;0
79.11;150;5000;55.19;0.83;4.87;20;979;0
79.98;146.91;5000;54.13;0.81;4.88;65;934;0
79.96;145.9;5000;53.92;0.81;4.88;70;929;0
80;149.5;5000;54.7;0.82;4.87;47;952;0
80;149.15;5000;54.62;0.82;4.87;51;948;0
80;149.76;5000;54.76;0.82;4.87;46;953;0
80;140.17;5000;52.8;0.79;4.91;118;881;0
79.86;146.26;5000;54.03;0.81;4.88;68;931;0
79.92;139.67;5000;52.73;0.79;4.91;119;880;0
79.99;148.5;5000;54.48;0.82;4.87;54;945;0
79.96;142.39;5000;53.22;0.8;4.9;93;906;0
79.97;142.09;5000;53.16;0.8;4.9;94;905;0
79.86;143.44;5000;53.45;0.8;4.89;83;916;0
79.95;144.54;5000;53.64;0.81;4.89;80;919;0
79.96;147.6;5000;54.29;0.81;4.87;61;938;0
79.98;146.7;5000;54.08;0.81;4.88;67;932;0
79.98;149.72;5000;54.76;0.82;4.87;45;954;0
80;148.68;5000;54.51;0.82;4.87;53;946;0
79.99;143.45;5000.01;53.41;0.8;4.89;85;914;0
79.99;148.03;5000;54.37;0.81;4.87;58;941;0
79.99;139.49;5000;52.68;0.79;4.92;122;877;0
79.97;142.78;5000;53.29;0.8;4.9;90;909;0
79.99;139.3;5000;52.65;0.79;4.92;123;876;0
79.97;147.79;5000;54.33;0.81;4.87;60;939;0
79.97;147.46;5000.02;54.25;0.81;4.87;62;937;0
79.99;143.34;5000;53.39;0.8;4.89;86;913;0
80;142.67;5000;53.26;0.8;4.9;91;908;0
78.76;150;5000;55.34;0.83;4.87;13;986;0
79.92;142.84;5000;53.32;0.8;4.89;89;910;0
79.98;148.19;5000.01;54.41;0.81;4.87;57;942;0
79.99;144.47;5000;53.62;0.81;4.89;81;918;0
78.68;149.98;5000;55.37;0.83;4.87;12;987;0
79.87;141.66;5000;53.11;0.8;4.9;97;902;0
80;137.49;5000;52.34;0.79;4.93;155;844;0
