speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;50;12000;4.66;0.26;22.53;724;275;0
80;150;5000;5.93;0.44;4.19;475;524;0
80;50;10599.19;4.6;0.28;18.73;999;0;0
79.88;150;11999.9;9.19;0.31;11.09;96;903;0
79.95;132.9;5000;5.63;0.44;4.35;469;530;0
80;50;12000;4.66;0.26;22.53;723;276;0
80;148.34;9935;8.05;0.35;8.85;209;790;0
80;150;9477.96;7.87;0.35;8.3;213;786;0
79.99;149.16;6524.44;6.4;0.42;5.27;425;574;0
79.99;133.43;5780.84;5.79;0.43;4.85;466;533;0
80;127.01;6736.61;5.93;0.42;5.71;440;559;0
79.98;131.43;6556.8;5.97;0.42;5.48;440;559;0
79.99;134.21;5521.07;5.74;0.44;4.66;470;529;0
79.93;132.05;6263.41;5.89;0.43;5.23;447;552;0
79.94;147.25;5860.26;6.11;0.43;4.76;457;542;0
80;124.12;5992.25;5.67;0.43;5.14;462;537;0
79.99;118.57;5024.03;5.45;0.44;4.59;485;514;0
79.99;114.1;5780.84;5.48;0.43;5.17;476;523;0
80;134.08;6029.99;5.87;0.43;5.02;454;545;0
79.95;134.96;6569.55;6.06;0.42;5.45;441;558;0
79.99;142.01;6914.25;6.36;0.41;5.67;420;579;0
80;145.22;6102.75;6.14;0.43;4.96;446;553;0
79.99;150;6147.78;6.27;0.42;4.96;441;558;0
79.98;142.94;5066.53;5.81;0.44;4.29;474;525;0
79.94;123.02;5386.77;5.54;0.44;4.73;485;514;0
79.94;120.43;5710.59;5.56;0.43;4.99;475;524;0
80;147.87;6922.85;6.53;0.41;5.62;412;587;0
80;149.94;5591.74;6.09;0.43;4.56;460;539;0
79.98;131.43;6674.1;6.01;0.42;5.58;442;557;0
79.99;134.39;6974.66;6.19;0.41;5.82;419;580;0
79.99;148.39;6744.17;6.47;0.41;5.46;417;582;0
80;149.36;6329.96;6.32;0.42;5.11;430;569;0
80;149.59;5881.52;6.17;0.43;4.76;456;543;0
80;140.86;6737.89;6.26;0.42;5.52;426;573;0
79.94;149.81;5383.88;6.03;0.44;4.42;468;531;0
80;145.52;6188.56;6.18;0.42;5.02;442;557;0
79.95;137.85;5000;5.71;0.44;4.3;468;531;0
79.94;133.88;5918.27;5.83;0.43;4.94;463;536;0
79.95;123.65;5000;5.51;0.44;4.49;478;521;0
79.99;142.01;6974.66;6.39;0.41;5.73;414;585;0
79.94;112.76;5448.41;5.43;0.44;4.97;483;515;1
79.95;111;5104.16;5.39;0.44;4.8;491;508;0
79.92;150;5826.34;6.17;0.43;4.72;458;541;0
79.98;111.97;5208.19;5.4;0.44;4.84;487;512;0
80;143.4;7099.49;6.48;0.41;5.83;405;594;0
80;135.16;5888.15;5.85;0.43;4.9;460;539;0
80;132.65;7476.36;6.35;0.41;6.33;366;633;0
79.95;124.33;5131.7;5.53;0.44;4.55;483;516;0
80;148.78;6596.33;6.42;0.42;5.33;424;575;0
80;95.54;5149.71;5.32;0.43;5.29;506;493;0
80;145.3;7141.07;6.55;0.41;5.85;400;599;0
80;149.1;6274.53;6.3;0.42;5.06;433;566;0
79.98;122.35;5000;5.49;0.44;4.51;479;520;0
79.99;149.93;6029.99;6.23;0.43;4.87;444;555;0
79.97;132.97;7226.91;6.25;0.41;6.08;389;610;0
80;141.29;6220.37;6.08;0.43;5.09;446;553;0
79.98;137.46;7038.41;6.29;0.41;5.84;409;590;0
79.97;132.83;6588.76;6.01;0.42;5.49;439;560;0
80;145.17;7021.63;6.5;0.41;5.74;408;591;0
80;149.27;9462.28;7.84;0.36;8.29;217;782;0
80;148.8;6640;6.43;0.42;5.37;421;578;0
80;134.39;6885.5;6.15;0.42;5.73;426;573;0
80;142.63;6495.96;6.21;0.42;5.3;438;561;0
80;124.59;5578.48;5.59;0.44;4.83;478;521;0
79.95;132.9;5122;5.65;0.44;4.43;469;530;0
79.97;150;5000;5.94;0.44;4.19;474;525;0
80;149.97;9346.06;7.8;0.36;8.15;215;783;1
79.95;132.49;6419.17;5.95;0.42;5.35;443;556;0
80;147.39;6853.39;6.49;0.41;5.57;415;584;0
79.99;147.44;6102.61;6.19;0.43;4.94;446;553;0
80;135.2;5122.03;5.69;0.44;4.4;469;530;0
79.93;135.42;5320.19;5.73;0.44;4.52;471;528;0
79.99;147.85;7039.62;6.58;0.41;5.73;407;592;0
80;149.92;5074.18;5.95;0.44;4.23;471;528;0
