speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;150;5000;2.8;0.38;14.46;103;896;0
80;50;11075.88;1.63;0.27;44.87;691;307;1
80;50;8541.18;1.38;0.28;33.8;927;72;0
72.65;149.99;5000.01;3.12;0.37;15.03;0;999;0
80;136.89;5000;2.63;0.38;14.52;138;861;0
80;50;11075.88;1.63;0.27;44.87;691;307;1
78.18;50;5687.24;1.81;0.29;22.2;604;395;0
80;50.32;5698.4;1.81;0.29;22;573;426;0
77.84;50.07;5652.17;1.83;0.29;22.1;608;391;0
79.99;50.02;6153.35;1.67;0.29;23.67;617;382;0
73.71;50.18;6369.09;1.66;0.28;25.32;673;326;0
72.6;50;6079.82;1.74;0.28;24.32;659;340;0
78.24;50;5865.01;1.76;0.29;22.83;614;385;0
76.34;50;6181.75;1.68;0.28;24.25;650;349;0
72.43;50.17;6295.47;1.69;0.28;25.19;666;333;0
76.4;50;5981.02;1.73;0.28;23.47;627;372;0
76.37;50.1;5884.63;1.76;0.28;23.1;620;379;0
80;50.01;6629.73;1.56;0.29;25.49;673;326;0
67.09;50.06;6349.03;1.74;0.27;26.13;722;277;0
78.82;50.16;7221.86;1.47;0.28;28.1;766;233;0
70.18;50.01;5365.47;1.99;0.28;21.78;601;398;0
73.26;50;5623.04;1.87;0.28;22.47;633;366;0
80;50.01;7806.08;1.41;0.28;30.46;853;146;0
61.4;50.05;6566.66;1.8;0.27;27.81;729;270;0
79.55;50;5555.2;1.85;0.29;21.61;586;413;0
69.9;50;6481.3;1.67;0.28;26.36;717;282;0
79.05;50;6465.38;1.6;0.29;24.99;653;346;0
79.63;50;7402.68;1.45;0.28;28.77;800;199;0
79.99;51.24;5672.26;1.83;0.29;21.74;546;453;0
79.68;50;7839.95;1.41;0.28;30.68;852;147;0
78.49;50;6758.63;1.54;0.28;26.25;698;301;0
61.39;50;6877.63;1.74;0.27;29.31;750;249;0
67.24;50;6915.41;1.62;0.27;28.7;776;223;0
73.49;51.33;5000.01;2.13;0.29;20.01;543;456;0
