speed;rate;vol;wear;rough;cost;victories;defeats;draws
72.64;50;5000;3.6;0.34;21.45;415;584;0
80;50;6733.37;2.89;0.35;27.18;794;205;0
80;108.82;5000;4.07;0.46;16.04;0;998;1
80;50;6733.37;2.89;0.35;27.18;793;206;0
80;108.82;5000;4.07;0.46;16.04;0;998;1
80;50.03;5922.85;2.97;0.35;23.7;892;107;0
80;50;5785.14;3.01;0.35;23.15;902;97;0
80;50;5959.59;2.97;0.35;23.85;890;109;0
80;50;5819.03;3;0.35;23.29;901;98;0
80;50;6559.9;2.89;0.35;26.4;811;188;0
80;50;6597.48;2.89;0.35;26.57;810;189;0
80;50;6419.19;2.9;0.35;25.79;830;169;0
80;50.01;5868.34;2.99;0.35;23.48;895;104;0
80;50;6106.54;2.94;0.35;24.46;870;129;0
80;50;5840.09;2.99;0.35;23.37;898;101;0
80;50;6392.87;2.9;0.35;25.67;831;168;0
80;50;5855.69;2.99;0.35;23.43;897;102;0
80;50;6031.2;2.95;0.35;24.15;879;120;0
80;50.08;5897.02;2.98;0.35;23.59;891;108;0
80;50;6049.43;2.95;0.35;24.22;878;121;0
80;50;6160.31;2.93;0.35;24.68;865;134;0
80;50;6202.18;2.92;0.35;24.86;861;138;0
80;50;6644.75;2.89;0.35;26.78;805;194;0
80;50;6070.36;2.94;0.35;24.31;876;123;0
80;50;6083.25;2.94;0.35;24.36;873;126;0
80;50;6175.97;2.93;0.35;24.75;863;136;0
80;50;6365.85;2.9;0.35;25.56;836;163;0
80;50.03;5914.18;2.98;0.35;23.66;893;106;0
80;100.37;5000;3.84;0.45;16.09;74;925;0
80;50;5319.11;3.15;0.35;21.38;913;86;0
80;50;6057.23;2.95;0.35;24.25;877;122;0
80;50;6531.09;2.89;0.35;26.28;816;183;0
80;50;6348.36;2.91;0.35;25.48;837;162;0
80;100.06;5000;3.84;0.45;16.1;75;924;0
80;50;5697.38;3.03;0.35;22.81;912;87;0
80;50;5777.06;3.01;0.35;23.12;903;96;0
80;50;6512.98;2.89;0.35;26.2;817;182;0
80;50;5965.05;2.96;0.35;23.88;889;110;0
80;50;6631.18;2.89;0.35;26.72;806;193;0
80;50;6124.84;2.94;0.35;24.53;868;131;0
80;107.72;5000;4.04;0.46;16.04;12;987;0
80;50;5650.7;3.04;0.35;22.63;916;83;0
80;50;6189.64;2.93;0.35;24.81;862;137;0
80;50;6215.78;2.92;0.35;24.92;860;139;0
80;50;5827.97;2.99;0.35;23.32;899;100;0
80;77.13;5000.09;3.51;0.41;17.02;261;738;0
80;50.21;5913.51;2.98;0.35;23.63;875;124;0
80;50;6114.58;2.94;0.35;24.49;869;130;0
80;50;5752.65;3.01;0.35;23.03;906;93;0
80;50.01;6149.25;2.93;0.35;24.63;864;135;0
80;78.06;5527.41;3.33;0.42;18.63;321;678;0
80;50;6620.58;2.89;0.35;26.67;807;192;0
80;50;6022.71;2.95;0.35;24.11;880;119;0
80;59.15;5951.24;3.06;0.38;22.22;557;442;0
80;50;6721.63;2.89;0.35;27.12;795;204;0
