speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;50;12000;2.08;0.29;47.04;932;66;1
80;90.86;5689.79;2.06;0.41;16.96;876;123;0
47.22;132.39;5000;4.36;0.46;13.39;1;997;1
47.22;132.44;5000;4.36;0.46;13.39;0;999;0
47.22;132.39;5000;4.36;0.46;13.39;1;997;1
80;50;12000;2.08;0.29;47.04;932;66;1
66.91;85.68;5000.04;3.23;0.42;14.92;225;774;0
74.15;87.93;5000.25;2.61;0.42;15.01;377;622;0
66.28;91.44;5000.04;3.27;0.42;14.58;215;784;0
69.93;76.54;5000;3;0.4;15.7;272;727;0
71.8;92.73;5000.14;2.8;0.42;14.67;316;683;0
65.08;83.03;5000.03;3.38;0.42;15.04;192;807;0
66.93;100.36;5000;3.21;0.43;14.21;228;771;0
68.47;89.38;5000;3.09;0.42;14.75;248;751;0
72.34;90.43;5000.01;2.76;0.42;14.81;327;672;0
69.91;72.48;5000;3.02;0.4;16.08;269;730;0
68.5;100.78;5000.02;3.08;0.43;14.23;252;747;0
71.96;71.26;5000.06;2.84;0.39;16.28;310;689;0
76.22;75.35;5000.17;2.46;0.4;16.03;440;559;0
65.23;90.04;5000.07;3.35;0.42;14.62;196;803;0
74.33;103.24;5015.1;2.59;0.43;14.35;378;621;0
76.22;122.05;5000.17;2.5;0.44;13.92;409;590;0
72.55;76.76;5000.07;2.77;0.4;15.77;331;668;0
63.07;111.99;5000;3.52;0.44;13.79;174;825;0
68.44;75.46;5000.05;3.13;0.4;15.75;249;750;0
78.86;55.67;5003.91;2.25;0.36;18.6;537;462;0
69.62;68.37;5000.04;3.06;0.39;16.5;260;739;0
72.55;75.19;5000.07;2.78;0.4;15.91;328;671;0
74.71;79.34;5000.07;2.58;0.41;15.63;395;604;0
65.19;87.8;5000.04;3.36;0.42;14.74;196;803;0
73.63;74.92;5000.19;2.68;0.4;15.98;357;642;0
64.9;85.42;5000.09;3.39;0.42;14.88;190;809;0
73.65;99.68;5000.14;2.65;0.43;14.42;360;639;0
69;69.9;5000.06;3.11;0.39;16.31;251;748;0
73.44;64.17;5000.09;2.74;0.38;17.15;339;660;0
69.5;75.34;5000.01;3.04;0.4;15.8;263;736;0
63.79;105.25;5000.05;3.46;0.44;13.97;181;818;0
65.41;125.12;5000.05;3.4;0.44;13.64;190;809;0
64.35;88;5000.03;3.43;0.42;14.71;184;815;0
71.99;77.99;5000.02;2.82;0.4;15.65;319;680;0
68.92;67.4;5000.01;3.12;0.39;16.58;249;750;0
65.36;78.9;5000.14;3.38;0.41;15.36;198;801;0
69.11;81.58;5000.1;3.05;0.41;15.27;259;740;0
70.31;90.52;5000.01;2.93;0.42;14.74;278;721;0
65.92;78.07;5000.02;3.34;0.41;15.44;207;792;0
67.97;78.05;5000;3.16;0.41;15.51;239;760;0
64.13;92.11;5000.01;3.44;0.43;14.48;182;817;0
71.72;72.35;5000;2.86;0.4;16.16;302;697;0
70.84;83.03;5000.02;2.9;0.41;15.22;290;709;0
64.42;100.51;5000;3.41;0.43;14.14;189;810;0
70.22;84.3;5000.02;2.95;0.41;15.12;276;723;0
61.64;100.1;5000.05;3.62;0.43;14.08;151;848;0
65.22;93.26;5000.08;3.35;0.43;14.46;202;797;0
66.55;95.23;5000;3.24;0.43;14.4;227;772;0
66.41;89.37;5000.04;3.26;0.42;14.69;217;782;0
66.29;111.1;5000.04;3.28;0.44;13.88;219;780;0
62.06;102.7;5000.02;3.59;0.43;14.01;157;842;0
66.26;75.33;5000.05;3.32;0.4;15.68;212;787;0
80;50;5695.11;2.08;0.34;22.12;956;43;0
61.36;120.64;5000.01;3.67;0.44;13.61;141;858;0
63.26;98.06;5000;3.5;0.43;14.2;173;826;0
70.86;95.36;5000.02;2.88;0.43;14.52;291;708;0
69.65;98.27;5000.04;2.98;0.43;14.36;271;728;0
76.44;62.73;5000.03;2.47;0.37;17.45;432;567;0
67.08;103.01;5000.04;3.2;0.43;14.12;228;771;0
80;50;11704.04;2.1;0.29;46.02;879;120;0
69.18;103.82;5000;3.03;0.43;14.15;259;740;0
62.71;119.54;5000.01;3.57;0.44;13.65;163;836;0
